序号,代码,名称,市场代码简称,最新价(元) 2026.04.30,涨跌幅(%) 2026.04.30,低位 2026.04.30,区间涨跌幅(%) 2026.04.28 - 2026.04.30,市盈率估值状态 截至2026.05.02最新,历史PEG值 截至2026.05.02最新,主力净额(元) 2026.04.30,主力净额(元) 2026.04.29,主力净额(元) 2026.04.28,均线多头排列 2026.04.30,证券类型,涨跌额(元) 2026.04.30,最高价(元) 2026.04.30,最低价(元) 2026.04.30,换手率(%) 2026.04.30,量比 2026.04.30,成交量(股) 2026.04.30,成交额(元) 2026.04.30,市盈率(动)(倍) 2026.04.30,市净率(倍) 2026.04.30,总市值(元) 2026.04.30,流通市值(元) 2026.04.30
1,688789,宏华数科,SH,60.12,-10.34,符合,-9.97,估值较低,0.85,1197.77万,426.73万,732.61万,-,A股,-6.930,62.50,57.66,5.39,5.29,972.15万,5.84亿,65.19,2.9976,108.37亿,108.37亿
2,600517,国网英大,SH,5.92,-7.79,符合,-5.43,估值较低,0.13,5493.02万,1804.18万,508.69万,-,A股,-0.500,6.28,5.88,1.58,3.84,9050.44万,5.40亿,21.72,1.4127,338.53亿,338.53亿
3,603231,索宝蛋白,SH,17.09,-4.42,符合,-4.15,估值较低,0.27,34.99万,307.25万,38.80万,-,A股,-0.790,17.69,17.06,4.71,2.14,500.35万,8599.87万,25.74,1.6158,32.72亿,18.16亿
4,920112,巴兰仕,BJ,32.47,0.62,符合,-1.16,估值较低,0.71,93.42万,14.65万,53.70万,-,A股,0.200,32.66,31.90,1.32,1.27,30.49万,986.98万,24.94,2.9772,27.55亿,7.53亿
