序号,代码,名称,市场代码简称,最新价(元) 2026.05.08,涨跌幅(%) 2026.05.08,股票简称,*ST股票,归属母公司股东的净利润最新同比增长率 截至2026.03.31最新,收盘价(日线不复权)(元) 2026.05.08,总市值(元) 2026.05.08,归属母公司股东的净利润(元) 2026.03.31,归属母公司股东的净利润(元) 2025.12.31,归属母公司股东的净利润(元) 2025.09.30,归属母公司股东的净利润(元) 2025.06.30,归属母公司股东的净利润(元) 2025.03.31,净利润(元) 2026.03.31,净利润(元) 2025.12.31,净利润(元) 2025.09.30,净利润(元) 2025.06.30,净利润(元) 2025.03.31,涨跌额(元) 2026.05.08,最高价(元) 2026.05.08,最低价(元) 2026.05.08,换手率(%) 2026.05.08,量比 2026.05.08,成交量(股) 2026.05.08,成交额(元) 2026.05.08,市盈率(动)(倍) 2026.05.08,市净率(倍) 2026.05.08,流通市值(元) 2026.05.08
46,300152,*ST动力,SZ,1.95,0.00,*ST动力,是,38.46|2026一季报,1.95,13.90亿,-338.91万|2026一季报,-3424.86万|2025年报,-723.20万|2025三季报,-728.61万|2025半年报,-550.70万|2025一季报,-338.93万|2026一季报,-3425.13万|2025年报,-723.44万|2025三季报,-728.82万|2025半年报,-550.75万|2025一季报,0.000,1.97,1.91,3.19,0.56,2270.98万,4413.93万,-102.53,6.5773,13.90亿
47,600239,ST云城,SH,1.68,-3.45,ST云城,否,36.94|2026一季报,1.68,26.98亿,-2309.76万|2026一季报,-2.85亿|2025年报,-3522.18万|2025三季报,-3772.05万|2025半年报,-3662.74万|2025一季报,-2242.19万|2026一季报,-3.45亿|2025年报,-5294.12万|2025三季报,-4099.50万|2025半年报,-4025.45万|2025一季报,-0.060,1.71,1.65,8.54,11.13,1.37亿,2.27亿,-29.20,2.6716,26.98亿
48,000909,*ST数源,SZ,4.69,4.92,*ST数源,是,35.64|2026一季报,4.69,20.53亿,-677.32万|2026一季报,-4.37亿|2025年报,-6746.13万|2025三季报,-4804.68万|2025半年报,-1052.33万|2025一季报,-615.76万|2026一季报,-4.36亿|2025年报,-6419.29万|2025三季报,-4594.71万|2025半年报,-921.46万|2025一季报,0.220,4.69,4.43,4.19,0.83,1832.29万,8488.55万,-75.77,3.3509,20.53亿
49,688053,ST思科瑞,SH,43.37,2.89,ST思科瑞,否,34.52|2026一季报,43.37,43.37亿,-347.15万|2026一季报,-2078.15万|2025年报,81.38万|2025三季报,358.42万|2025半年报,-530.19万|2025一季报,-461.72万|2026一季报,-2606.44万|2025年报,-301.22万|2025三季报,106.07万|2025半年报,-612.19万|2025一季报,1.220,43.98,41.70,1.72,1.36,171.98万,7364.37万,-312.32,2.7384,43.37亿
50,300311,ST任子行,SZ,5.59,2.38,ST任子行,否,32.06|2026一季报,5.59,37.66亿,-2535.93万|2026一季报,2303.68万|2025年报,-7698.99万|2025三季报,-6929.01万|2025半年报,-3732.82万|2025一季报,-2644.03万|2026一季报,1397.80万|2025年报,-7927.95万|2025三季报,-7106.18万|2025半年报,-3831.23万|2025一季报,0.130,5.63,5.44,2.55,1.30,1371.97万,7587.63万,-37.12,5.7548,30.04亿
51,000518,*ST四环,SZ,3.10,2.65,*ST四环,是,28.91|2026一季报,3.10,31.92亿,-1131.38万|2026一季报,-3709.23万|2025年报,-1269.74万|2025三季报,-1009.89万|2025半年报,-1591.47万|2025一季报,-1228.28万|2026一季报,-3961.08万|2025年报,-1349.56万|2025三季报,-1039.31万|2025半年报,-1715.79万|2025一季报,0.080,3.11,3.02,1.87,1.92,1929.22万,5928.35万,-70.53,9.8718,31.92亿
52,920575,*ST康乐,BJ,4.51,0.45,*ST康乐,是,27.88|2026一季报,4.51,12.67亿,-5073.12万|2026一季报,-5.79亿|2025年报,-2.29亿|2025三季报,-1.47亿|2025半年报,-7034.55万|2025一季报,-5073.12万|2026一季报,-5.79亿|2025年报,-2.29亿|2025三季报,-1.47亿|2025半年报,-7034.55万|2025一季报,0.020,4.75,4.41,6.20,1.12,1164.80万,5343.17万,-6.24,-17.4917,8.47亿
53,002431,ST棕榈,SZ,1.79,-4.79,ST棕榈,否,21.66|2026一季报,1.79,32.26亿,-1.27亿|2026一季报,-11.91亿|2025年报,-5.15亿|2025三季报,-2.73亿|2025半年报,-1.62亿|2025一季报,-1.27亿|2026一季报,-11.90亿|2025年报,-5.18亿|2025三季报,-2.76亿|2025半年报,-1.64亿|2025一季报,-0.090,1.79,1.79,0.46,2.51,833.89万,1492.66万,-6.37,10.8597,32.26亿
54,002872,ST天圣,SZ,5.59,2.95,ST天圣,否,21.20|2026一季报,5.59,17.78亿,-978.49万|2026一季报,-5542.35万|2025年报,-4533.94万|2025三季报,-3671.23万|2025半年报,-1241.67万|2025一季报,-983.11万|2026一季报,-5601.22万|2025年报,-4576.93万|2025三季报,-3691.39万|2025半年报,-1253.70万|2025一季报,0.160,5.65,5.40,2.10,0.76,451.84万,2501.95万,-45.42,0.9157,12.01亿
55,002542,*ST中岩,SZ,1.88,3.30,*ST中岩,是,18.25|2026一季报,1.88,33.95亿,-4217.51万|2026一季报,-9.51亿|2025年报,-2.96亿|2025三季报,-1.58亿|2025半年报,-5158.88万|2025一季报,-4036.89万|2026一季报,-9.58亿|2025年报,-2.95亿|2025三季报,-1.58亿|2025半年报,-5189.32万|2025一季报,0.060,1.91,1.80,5.95,1.36,1.05亿,1.96亿,-20.13,-21.0012,33.06亿
56,000610,*ST西旅,SZ,7.65,2.82,*ST西旅,是,17.58|2026一季报,7.65,18.11亿,-2663.59万|2026一季报,-2.91亿|2025年报,-8034.09万|2025三季报,-5598.96万|2025半年报,-3231.90万|2025一季报,-2975.22万|2026一季报,-2.93亿|2025年报,-8854.72万|2025三季报,-6164.30万|2025半年报,-3526.43万|2025一季报,0.210,7.76,7.42,5.04,0.74,1187.12万,9066.49万,-17.00,-22.3122,18.02亿
57,300198,*ST纳川,SZ,2.48,-0.40,*ST纳川,是,15.73|2026一季报,2.48,25.58亿,-3625.63万|2026一季报,-2.75亿|2025年报,-1.08亿|2025三季报,-7666.42万|2025半年报,-4302.55万|2025一季报,-3673.52万|2026一季报,-2.64亿|2025年报,-1.11亿|2025三季报,-7821.52万|2025半年报,-4449.72万|2025一季报,-0.010,2.49,2.46,1.39,0.82,1431.55万,3539.38万,-17.64,5.3200,25.45亿
58,300301,ST长方,SZ,3.66,5.78,ST长方,否,13.89|2026一季报,3.66,30.37亿,-2062.83万|2026一季报,-1.50亿|2025年报,-8673.17万|2025三季报,-5415.39万|2025半年报,-2395.59万|2025一季报,-2064.12万|2026一季报,-1.50亿|2025年报,-8679.10万|2025三季报,-5418.78万|2025半年报,-2396.25万|2025一季报,0.200,3.69,3.40,2.79,1.29,2206.57万,7836.25万,-36.81,41.8251,28.91亿
59,000668,*ST荣控,SZ,18.34,4.98,*ST荣控,是,13.14|2026一季报,18.34,26.93亿,-1268.22万|2026一季报,2614.68万|2025年报,-2740.40万|2025三季报,-2501.67万|2025半年报,-1460.00万|2025一季报,-1238.98万|2026一季报,2526.77万|2025年报,-2777.68万|2025三季报,-2523.42万|2025半年报,-1468.37万|2025一季报,0.870,18.34,17.78,0.49,0.29,72.41万,1321.78万,-53.09,3.6040,26.93亿
60,002529,*ST海源,SZ,7.79,0.52,*ST海源,是,12.80|2026一季报,7.79,20.25亿,-2030.61万|2026一季报,-1.86亿|2025年报,-9036.64万|2025三季报,-6574.85万|2025半年报,-2328.68万|2025一季报,-2030.61万|2026一季报,-1.86亿|2025年报,-9036.64万|2025三季报,-6574.85万|2025半年报,-2328.68万|2025一季报,0.040,7.79,7.57,2.09,1.02,544.66万,4162.32万,-24.94,25.4173,20.25亿
61,002227,*ST特迅,SZ,8.75,0.81,*ST特迅,是,12.11|2026一季报,8.75,21.68亿,-1569.81万|2026一季报,-6730.40万|2025年报,-4952.85万|2025三季报,-2896.89万|2025半年报,-1786.05万|2025一季报,-1675.82万|2026一季报,-7035.11万|2025年报,-5181.21万|2025三季报,-3018.67万|2025半年报,-1844.72万|2025一季报,0.070,8.86,8.60,2.88,0.59,707.57万,6175.77万,-34.53,2.3537,21.52亿
62,600581,*ST八钢,SH,2.71,0.37,*ST八钢,是,11.59|2026一季报,2.71,41.54亿,-3.27亿|2026一季报,-18.79亿|2025年报,-5.72亿|2025三季报,-6.97亿|2025半年报,-3.70亿|2025一季报,-3.29亿|2026一季报,-18.80亿|2025年报,-5.71亿|2025三季报,-6.99亿|2025半年报,-3.70亿|2025一季报,0.010,2.74,2.68,1.18,0.60,1814.62万,4917.10万,-3.18,-1.9743,41.54亿
63,300211,*ST亿通,SZ,9.28,2.88,*ST亿通,是,11.13|2026一季报,9.28,28.20亿,-1185.44万|2026一季报,-2978.74万|2025年报,-1865.05万|2025三季报,-1295.44万|2025半年报,-1333.97万|2025一季报,-841.42万|2026一季报,-2691.45万|2025年报,-1533.38万|2025三季报,-1011.12万|2025半年报,-1156.95万|2025一季报,0.260,9.28,8.96,1.74,1.17,520.57万,4777.78万,-59.48,6.4012,27.70亿
64,600543,*ST莫高,SH,4.99,2.04,*ST莫高,是,10.46|2026一季报,4.99,16.02亿,-896.57万|2026一季报,-1.07亿|2025年报,-4987.36万|2025三季报,-3186.45万|2025半年报,-1001.32万|2025一季报,-952.33万|2026一季报,-1.10亿|2025年报,-5081.27万|2025三季报,-3255.55万|2025半年报,-1033.24万|2025一季报,0.100,5.04,4.85,1.77,0.46,567.29万,2812.84万,-44.68,2.3109,16.02亿
65,300366,ST创意,SZ,5.84,0.86,ST创意,否,10.33|2026一季报,5.84,35.48亿,-5327.69万|2026一季报,-6.33亿|2025年报,-1.99亿|2025三季报,-1.12亿|2025半年报,-5941.38万|2025一季报,-6093.42万|2026一季报,-6.57亿|2025年报,-2.28亿|2025三季报,-1.31亿|2025半年报,-6969.29万|2025一季报,0.050,5.88,5.77,1.32,0.58,701.31万,4084.80万,-16.65,3.0839,30.98亿
66,300594,ST朗进,SZ,20.58,8.20,ST朗进,否,9.51|2026一季报,20.58,18.91亿,-1207.23万|2026一季报,-1507.08万|2025年报,-1350.20万|2025三季报,147.64万|2025半年报,-1334.13万|2025一季报,-1234.93万|2026一季报,-1840.36万|2025年报,-1235.14万|2025三季报,255.52万|2025半年报,-1339.37万|2025一季报,1.560,20.93,19.13,6.54,0.61,595.18万,1.20亿,-39.15,2.4758,18.73亿
67,300716,*ST泉为,SZ,15.40,17.83,*ST泉为,是,9.48|2026一季报,15.40,24.64亿,-1509.80万|2026一季报,-2.21亿|2025年报,-5880.85万|2025三季报,-3679.45万|2025半年报,-1667.85万|2025一季报,-2656.46万|2026一季报,-3.80亿|2025年报,-1.12亿|2025三季报,-7164.25万|2025半年报,-3388.11万|2025一季报,2.330,15.60,12.72,8.04,2.16,1285.93万,1.85亿,-40.81,-13.8055,24.64亿
68,000752,*ST西发,SZ,9.21,0.66,*ST西发,是,9.05|2026一季报,9.21,24.29亿,755.92万|2026一季报,1.44亿|2025年报,1.45亿|2025三季报,2598.35万|2025半年报,693.17万|2025一季报,1963.39万|2026一季报,2.66亿|2025年报,2.54亿|2025三季报,5051.52万|2025半年报,1928.59万|2025一季报,0.060,9.46,9.00,2.34,0.80,617.17万,5747.17万,80.34,3.9110,24.29亿
69,002689,ST远智,SZ,3.52,0.00,ST远智,否,8.61|2026一季报,3.52,36.72亿,-3109.28万|2026一季报,1.01亿|2025年报,4182.04万|2025三季报,2132.81万|2025半年报,-3402.12万|2025一季报,-3109.28万|2026一季报,1.01亿|2025年报,4182.04万|2025三季报,2132.81万|2025半年报,-3402.12万|2025一季报,0.000,3.53,3.48,0.90,1.02,938.55万,3291.82万,-29.53,2.9469,36.71亿
70,300076,*ST宁视,SZ,4.83,4.77,*ST宁视,是,7.74|2026一季报,4.83,20.48亿,-888.02万|2026一季报,-8124.90万|2025年报,-3153.00万|2025三季报,-2272.94万|2025半年报,-962.53万|2025一季报,-892.36万|2026一季报,-8248.84万|2025年报,-3213.49万|2025三季报,-2310.43万|2025半年报,-975.25万|2025一季报,0.220,4.93,4.57,5.17,0.72,2193.43万,1.05亿,-57.65,2.4396,20.48亿
71,688066,*ST航图,SH,12.66,5.50,*ST航图,是,5.64|2026一季报,12.66,33.08亿,-1.08亿|2026一季报,-18.60亿|2025年报,-3.66亿|2025三季报,-2.48亿|2025半年报,-1.15亿|2025一季报,-1.09亿|2026一季报,-18.64亿|2025年报,-3.68亿|2025三季报,-2.49亿|2025半年报,-1.15亿|2025一季报,0.660,12.85,11.99,7.01,0.69,1831.55万,2.29亿,-7.64,-2.6787,33.08亿
72,688033,*ST天宜,SH,7.93,14.93,*ST天宜,是,4.60|2026一季报,7.93,44.58亿,-8516.48万|2026一季报,-22.35亿|2025年报,-3.71亿|2025三季报,-2.09亿|2025半年报,-8927.21万|2025一季报,-8716.19万|2026一季报,-22.45亿|2025年报,-3.75亿|2025三季报,-2.10亿|2025半年报,-8920.25万|2025一季报,1.030,7.93,6.88,4.79,1.10,2692.86万,2.00亿,-13.09,3.3615,44.58亿
73,600082,ST海泰,SH,3.78,2.44,ST海泰,否,1.33|2026一季报,3.78,24.42亿,-1352.98万|2026一季报,-7298.33万|2025年报,242.20万|2025三季报,-3006.27万|2025半年报,-1371.20万|2025一季报,-1352.98万|2026一季报,-7298.33万|2025年报,242.20万|2025三季报,-3006.27万|2025半年报,-1371.20万|2025一季报,0.090,3.87,3.63,5.87,1.71,3725.49万,1.42亿,-45.13,1.4456,23.98亿
