序号,代码,名称,市场代码简称,最新价(元) 2026.05.08,涨跌幅(%) 2026.05.08,股票简称,*ST股票,归属母公司股东的净利润最新同比增长率 截至2026.03.31最新,收盘价(日线不复权)(元) 2026.05.08,总市值(元) 2026.05.08,归属母公司股东的净利润(元) 2026.03.31,归属母公司股东的净利润(元) 2025.12.31,归属母公司股东的净利润(元) 2025.09.30,归属母公司股东的净利润(元) 2025.06.30,归属母公司股东的净利润(元) 2025.03.31,净利润(元) 2026.03.31,净利润(元) 2025.12.31,净利润(元) 2025.09.30,净利润(元) 2025.06.30,净利润(元) 2025.03.31,涨跌额(元) 2026.05.08,最高价(元) 2026.05.08,最低价(元) 2026.05.08,换手率(%) 2026.05.08,量比 2026.05.08,成交量(股) 2026.05.08,成交额(元) 2026.05.08,市盈率(动)(倍) 2026.05.08,市净率(倍) 2026.05.08,流通市值(元) 2026.05.08
13,600107,*ST尔雅,SH,6.80,2.56,*ST尔雅,是,145.20|2026一季报,6.80,24.48亿,373.68万|2026一季报,-8909.26万|2025年报,-3568.23万|2025三季报,-2185.87万|2025半年报,-826.67万|2025一季报,323.52万|2026一季报,-9342.51万|2025年报,-3702.39万|2025三季报,-2290.94万|2025半年报,-822.74万|2025一季报,0.170,6.96,6.51,5.77,3.99,2076.95万,1.41亿,163.78,6.0382,24.48亿
14,603922,ST金鸿顺,SH,17.06,-5.01,ST金鸿顺,否,145.14|2026一季报,17.06,30.57亿,874.76万|2026一季报,-1.02亿|2025年报,1570.79万|2025三季报,810.94万|2025半年报,356.84万|2025一季报,874.76万|2026一季报,-1.02亿|2025年报,1570.79万|2025三季报,810.94万|2025半年报,356.84万|2025一季报,-0.900,17.06,17.06,0.71,0.28,126.34万,2155.36万,87.37,3.2858,30.57亿
15,000691,*ST亚太,SZ,8.02,1.01,*ST亚太,是,139.74|2026一季报,8.02,38.89亿,359.69万|2026一季报,-3580.31万|2025年报,-3813.48万|2025三季报,-2372.21万|2025半年报,-905.11万|2025一季报,946.43万|2026一季报,-3361.44万|2025年报,-4178.28万|2025三季报,-2438.93万|2025半年报,-1304.46万|2025一季报,0.080,8.09,7.84,1.80,0.96,582.30万,4648.00万,270.30,8.5511,25.93亿
16,002848,*ST高斯,SZ,15.59,2.90,*ST高斯,是,139.23|2026一季报,15.59,26.06亿,580.66万|2026一季报,-7960.43万|2025年报,-4202.44万|2025三季报,-3091.02万|2025半年报,-1480.06万|2025一季报,590.81万|2026一季报,-8070.74万|2025年报,-4206.18万|2025三季报,-3088.40万|2025半年报,-1487.70万|2025一季报,0.440,15.66,15.05,2.45,0.96,404.67万,6213.66万,112.19,31.1903,25.71亿
17,688184,ST帕瓦,SH,14.31,6.32,ST帕瓦,否,136.00|2026一季报,14.31,22.76亿,2016.54万|2026一季报,-6.98亿|2025年报,-2.04亿|2025三季报,-1.58亿|2025半年报,-5600.87万|2025一季报,2016.54万|2026一季报,-6.98亿|2025年报,-2.04亿|2025三季报,-1.58亿|2025半年报,-5600.87万|2025一季报,0.850,14.92,13.41,5.81,0.82,584.09万,8342.83万,28.22,2.1183,14.38亿
18,002693,*ST双成,SZ,9.58,5.04,*ST双成,是,134.34|2026一季报,9.58,39.73亿,344.82万|2026一季报,1904.32万|2025年报,-252.35万|2025三季报,-1846.66万|2025半年报,-1004.05万|2025一季报,-59.89万|2026一季报,892.01万|2025年报,-726.66万|2025三季报,-2303.36万|2025半年报,-1350.20万|2025一季报,0.460,9.58,9.06,3.88,0.97,1595.06万,1.50亿,288.03,9.5520,39.37亿
19,300295,*ST三六,SZ,12.46,2.72,*ST三六五,是,132.95|2026一季报,12.46,23.63亿,66.91万|2026一季报,-5071.12万|2025年报,-663.36万|2025三季报,-822.65万|2025半年报,-203.09万|2025一季报,-86.53万|2026一季报,-5119.36万|2025年报,-663.22万|2025三季报,-822.54万|2025半年报,-203.02万|2025一季报,0.330,12.61,12.08,4.16,0.55,696.59万,8653.09万,882.70,2.1834,20.88亿
20,003032,*ST传智,SZ,7.12,5.01,*ST传智,是,127.18|2026一季报,7.12,28.65亿,145.79万|2026一季报,-9044.85万|2025年报,-851.32万|2025三季报,-720.30万|2025半年报,-536.32万|2025一季报,161.94万|2026一季报,-1.08亿|2025年报,-752.82万|2025三季报,-699.62万|2025半年报,-543.30万|2025一季报,0.340,7.12,6.74,3.29,1.67,908.43万,6332.64万,491.35,2.4487,19.67亿
21,603595,ST东尼,SH,18.52,1.98,ST东尼,否,118.59|2026一季报,18.52,43.05亿,2379.68万|2026一季报,-6379.36万|2025年报,-1460.51万|2025三季报,-4121.21万|2025半年报,1088.67万|2025一季报,3019.30万|2026一季报,-1.05亿|2025年报,-4654.62万|2025三季报,-6735.30万|2025半年报,745.21万|2025一季报,0.360,18.74,18.02,1.69,0.87,392.32万,7217.52万,45.23,2.8313,43.05亿
22,600238,*ST椰岛,SH,5.30,-0.38,*ST椰岛,是,114.18|2026一季报,5.30,23.75亿,92.22万|2026一季报,-2887.53万|2025年报,-617.42万|2025三季报,-1576.50万|2025半年报,-650.54万|2025一季报,214.67万|2026一季报,-3418.12万|2025年报,-760.58万|2025三季报,-1643.92万|2025半年报,-668.47万|2025一季报,-0.020,5.48,5.27,1.85,0.52,822.25万,4409.20万,643.96,30.4648,23.60亿
23,002762,*ST金比,SZ,8.88,2.30,*ST金比,是,105.45|2026一季报,8.88,31.44亿,11.85万|2026一季报,-1.87亿|2025年报,-7896.91万|2025三季报,-1792.33万|2025半年报,-217.42万|2025一季报,54.17万|2026一季报,-1.89亿|2025年报,-7831.89万|2025三季报,-1639.07万|2025半年报,-259.28万|2025一季报,0.200,8.92,8.68,1.65,0.84,349.55万,3081.58万,6631.82,4.7027,18.77亿
24,000669,ST金鸿,SZ,4.10,1.74,ST金鸿,否,104.22|2026一季报,4.10,27.90亿,67.57万|2026一季报,2736.58万|2025年报,-4623.08万|2025三季报,-3023.24万|2025半年报,-1599.53万|2025一季报,169.79万|2026一季报,1732.95万|2025年报,-6349.57万|2025三季报,-4271.46万|2025半年报,-2471.29万|2025一季报,0.070,4.14,3.97,2.13,0.84,1448.66万,5871.99万,1032.17,45.8799,27.90亿
25,002305,*ST南置,SZ,2.33,2.64,*ST南置,是,103.41|2026一季报,2.33,40.41亿,1579.12万|2026一季报,-18.04亿|2025年报,-13.10亿|2025三季报,-8.98亿|2025半年报,-4.63亿|2025一季报,2103.31万|2026一季报,-19.00亿|2025年报,-14.15亿|2025三季报,-9.79亿|2025半年报,-4.72亿|2025一季报,0.060,2.34,2.27,1.78,1.10,3093.69万,7162.61万,63.97,16.1420,40.40亿
26,000736,*ST中地,SZ,5.68,3.09,*ST中地,是,100.70|2026一季报,5.68,42.44亿,343.49万|2026一季报,-17.10亿|2025年报,-16.60亿|2025三季报,-11.80亿|2025半年报,-4.93亿|2025一季报,510.27万|2026一季报,-19.53亿|2025年报,-19.01亿|2025三季报,-13.99亿|2025半年报,-6.38亿|2025一季报,0.170,5.69,5.48,1.28,1.39,957.86万,5353.46万,308.86,3.5018,42.44亿
27,300268,*ST佳沃,SZ,14.43,3.44,*ST佳沃,是,95.67|2026一季报,14.43,25.14亿,-783.83万|2026一季报,-4.27亿|2025年报,-4.23亿|2025三季报,-4.19亿|2025半年报,-1.81亿|2025一季报,-1261.60万|2026一季报,-4.80亿|2025年报,-4.74亿|2025三季报,-4.72亿|2025半年报,-2.01亿|2025一季报,0.480,14.45,13.92,1.14,1.15,152.11万,2157.79万,-80.17,-2.4339,19.29亿
28,600265,*ST景谷,SH,23.29,0.82,*ST景谷,是,93.55|2026一季报,23.29,30.23亿,-104.85万|2026一季报,-2.46亿|2025年报,-2.13亿|2025三季报,-1.24亿|2025半年报,-1624.39万|2025一季报,131.17万|2026一季报,-3.90亿|2025年报,-3.42亿|2025三季报,-2.02亿|2025半年报,-2739.30万|2025一季报,0.190,23.89,22.83,1.58,1.03,205.70万,4800.97万,-720.80,14.2789,30.23亿
29,002109,ST兴化,SZ,3.47,-4.93,ST兴化,否,92.77|2026一季报,3.47,44.29亿,-690.40万|2026一季报,-5.17亿|2025年报,-3.55亿|2025三季报,-1.95亿|2025半年报,-9551.40万|2025一季报,172.17万|2026一季报,-7.04亿|2025年报,-5.25亿|2025三季报,-3.11亿|2025半年报,-1.29亿|2025一季报,-0.180,3.47,3.47,0.15,0.10,190.88万,662.35万,-160.37,1.1298,44.29亿
30,002932,*ST明德,SZ,17.17,1.60,*ST明德,是,89.70|2026一季报,17.17,39.92亿,-37.74万|2026一季报,-1646.07万|2025年报,1351.55万|2025三季报,1249.73万|2025半年报,-366.30万|2025一季报,175.98万|2026一季报,-7506.21万|2025年报,-1244.61万|2025三季报,662.58万|2025半年报,-340.52万|2025一季报,0.270,17.17,16.78,1.90,0.60,295.87万,5035.12万,-2644.65,0.7223,26.80亿
