序号,代码,名称,市场代码简称,最新价(元) 2026.04.14,涨跌幅(%) 2026.04.14,证券类型,销售毛利率平均值 2023.12.31 - 2025.12.31,销售净利率平均值 2023.12.31 - 2025.12.31,经营活动产生的现金流量净额(元) 2025.12.31,经营活动产生的现金流量净额(元) 2024.12.31,经营活动产生的现金流量净额(元) 2023.12.31,分红次数(次) 2025.12.31,分红次数(次) 2024.12.31,分红次数(次) 2023.12.31,分红次数(次) 2022.12.31,分红次数(次) 2021.12.31,年度股息率(%) 2025.12.31,年度股利支付率平均值 2023.12.31 - 2025.12.31,资本支出/折旧摊销/归属母公司股东的净利润 截至2026.04.14最新,资本支出/折旧摊销(%) 截至2026.04.14最新,资产负债率(%) 截至2026.04.14最新,流动比率(%) 截至2026.04.14最新,市盈率(动)(倍) 2026.04.14,市净率(倍) 2026.04.14,申万行业分类,个股题材,概念,中证行业指数成份股,主营产品,股票简称,收盘价(日线不复权)(元) 2026.04.14,总市值(元) 2026.04.14,市盈率(TTM)(倍) 2026.04.14,分红次数合计 2021.12.31 - 2025.12.31,年度股息率*销售毛利率 2026.04.14,归属母公司股东的净利润(元) 截至2026.04.14最新,销售毛利率(%) 截至2026.04.14最新,净利润(元) 截至2026.04.14最新,东财行业总分类,涨跌额(元) 2026.04.14,最高价(元) 2026.04.14,最低价(元) 2026.04.14,换手率(%) 2026.04.14,量比 2026.04.14,成交量(股) 2026.04.14,成交额(元) 2026.04.14,流通市值(元) 2026.04.14
1,600211,西藏药业,SH,41.56,0.97,A股,94.49,31.42,10.05亿|2025年报,9.95亿|2024年报,10.63亿|2023年报,2,3,2,1,1,4.13,60.01,0.00,19.85|2025年报,33.98|2025年报,2.83|2025年报,3.57,3.5266,医药生物-生物制品-其他生物制品,生物制品、医疗健康、西藏概念、医疗美容、区域经济、创新药、医疗器械、生物疫苗、传统中药,医疗器械概念、融资融券、西部大开发、特色药、高股息精选、上证380、沪股通、生物疫苗、小盘股、三胎概念、流感、中药概念、富时罗素、独家药品、创新药、基因测序,中证全指医药卫生指数、中证全指医药卫生行业指数、中证全指医药指数、中证1000医药卫生指数,【基因工程药物新活素】【心衰诊疗】【药品生产】【诺迪康产品】【高压球囊扩张导管】【诺迪康颗粒】【颗粒剂】【单硝酸异山梨酯缓释片(依姆多)】【新活素】【注射用重组人脑利钠肽(新活素)】【涂膜剂】【生物制剂】【胶囊剂】【依姆多】【依姆多60MG】【十味蒂达】【十味蒂达胶囊】【小儿双清】【小儿双清颗粒】【药品批发】【诺迪康】【诺迪康胶囊】【重组人脑利钠肽(新活素)】【雪山金罗汉止痛涂膜剂】【药品销售】,西藏药业,41.56,133.96亿,14.28,9,389.04,9.38亿|2025年报,94.22|2025年报,9.17亿|2025年报,医药生物-生物制品-其他生物制品,0.400,41.59,40.89,0.77,0.77,249.01万,1.03亿,133.96亿
2,000513,丽珠集团,SZ,33.85,0.83,A股,65.14,18.28,31.45亿|2025年报,29.79亿|2024年报,32.49亿|2023年报,1,1,1,1,1,4.15,58.34,0.00,91.64|2025年报,35.18|2025年报,2.23|2025年报,3.71,2.1641,医药生物-化学制药-化学制剂,生物制品、广东自贸、霉素、医药设备、区域经济、抗原检测、AI医疗、生物疫苗、三胎概念、仿制药一致性评价、流感、精准医疗、医疗健康、人工智能、辅助生殖、重组蛋白、减肥药、基因测序、创新药、痘病毒防治、幽门螺杆菌概念、传统中药,宠物经济、标准普尔、深成500、生物疫苗、仿制药一致性评价、中药概念、横琴新区、DeepSeek概念、辅助生殖、富时罗素、重组蛋白、创新药、基因测序、MSCI中国、痘病毒防治、融资融券、深股通、中证500、GLP-1制剂、价值股、猴痘概念、流感、单抗概念、精准医疗、病原体防治、减肥药、幽门螺杆菌概念、PD-1,中证800制药与生物科技指数、中证医药卫生指数、中证全指医药卫生指数、中证500医药指数、中证500化学药指数、中证全指医药卫生行业指数、中证全指医药行业指数、中证全指医药指数、中证500医药卫生指数,【2024H1中药制剂】【2024H1原料药及中间体】【2024H1诊断试剂及设备】【IL-6R托珠单抗】【IL17A/F单抗】【托珠单抗注射液】【抗感染产品】【中药业务】【中药制剂业务】【丽珠得乐】【促性激素产品】【化学制剂产品】【高端抗生素产品万古霉素】【亮丙瑞林微球】【伏立康唑】【制剂产品】【化学制剂】【化学药】【化药业务】【化药制剂】【医药研发】【重组新型冠状病毒融合蛋白疫苗V-01】【原料药及中间体产品】【人类免疫缺陷病毒抗体诊断试剂盒(酶联免疫法)】【原料药及中间体】【原料药及中间体业务】【注射用醋酸曲普瑞林微球(1个月缓释)】【原料药和中间体】【原料药和中间体业务】【注射用重组人绒促性素】【参芪扶正】【原料药生产】【司库奇尤单抗】【注射用阿立哌唑微球(1个月缓释)】【消化道产品】【商业发展及职能管理】【特色中药新药】【托珠单抗注射液(安维泰)】【托珠单抗注射液(IL-6R)】【托珠单抗生物类似药】【托珠单抗类似药】【头孢曲松钠等原料药】【新冠疫苗】【注射用利普苏拜单抗(PD-1)】【注射用醋酸亮丙瑞林微球】【硫酸多黏菌素B】【预防骨科大手术术后的静脉血栓栓塞症的HHT120胶囊】【药品】【生物制品业务】【重组新型冠状病毒融合蛋白二价疫苗】【布南色林片】【精神类产品】【艾普拉唑系列】【MYCOII(肺炎支原体抗体检测试剂盒（被动凝集法)）】【艾普拉唑钠】【精神产品】【西药制剂】【诊断制剂产品】【重组新型冠状病毒融合蛋白二价(原型株/OMICRONXBB变异株)疫苗（CHO细胞）】【诊断试剂与设备业务】【诊断试剂及产品设备】【诊断试剂及设备业务】【诊断试剂和设备业务】【重组新型冠状病毒融合蛋白疫苗(V-01)】【中药新药研发】【L-苯丙氨酸】【盐酸鲁拉西酮片】【处方药的销售】【抗核抗体检测试剂盒(磁条码免疫荧光发光法)】【莫昔克丁】【雷贝拉唑钠肠溶片】【替考拉宁】【司美格鲁肽】【托珠单抗】【注射用尿促性素(乐宝得)】【注射用醋酸西曲瑞克】【医药产品的研发、生产及销售】【注射用磷酸特地唑胺】【盐酸哌罗匹隆片(8MG)】【硫酸镁钠钾口服用浓溶液】【原料药业务】【制剂全球布局】【原料药与中间体】【原料药全球拓展】【司美格鲁肽注射液】【四价流感疫苗】【四价流感重组蛋白疫苗】【复达那非片】【小核酸痛风药物LZHN2408】【抗凝药物H001胶囊】【抗感染药物SG1001片】【抗癫痫药物NS-041片】【曲普瑞林微球】【棕榈酸帕利哌酮注射液】【注射用伏立康唑】【注射用艾普拉唑钠】【注射用阿立哌唑微球】【消化道药物JP-1366】【痛风小核酸药物LZHN2408】【精神神经】【艾普拉唑】【诊断试剂及设备】【重组人促卵泡激素注射液】【重组人绒促性素(RHCG)】【重组抗人IL-17A/F人源化单克隆抗体注射液】【阿立哌唑缓释微球】【马来酸氟伏沙明片】【黄体酮注射液】【BD业务】【H001胶囊】【JP-1366片】【LZHG2401】【抗病毒颗粒】【壹丽安(艾普拉唑肠溶片)】【中药制剂产品】【诊断试剂及设备产品】【万古霉素】【中药制剂】【丽倍乐(雷贝拉唑钠肠溶胶囊)】【丽珠得乐(枸橼酸铋钾)系列产品】【丽珠得乐(枸橼酸铋钾)】【丽申宝(注射用尿促卵泡素)】【丽福康(注射用伏立康唑)】【乐宝得(注射用尿促性素)】【单抗】【原料药】【参芪扶正注射液】【壹丽安(艾普拉唑肠溶片及注射用艾普拉唑钠)】【处方药】【头孢呋辛】【头孢呋辛钠】【头孢曲松】【头孢曲松钠】【康尔汀(盐酸哌罗匹隆片)】【抗病毒颗粒等制剂产品】【枸橼酸铋钾系列产品(丽珠得乐)】【注射用尿促卵泡素(丽申宝)】【注射用尿促性素】【注射用醋酸亮丙瑞林微球(贝依)】【瑞必乐(马来酸氟伏沙明片)】【生物药】【疫苗】【盐酸万古霉素】【盐酸哌罗匹隆片(康尔汀)】【硫酸粘菌素】【米尔贝肟】【米尔贝肟及头孢曲松钠等原料药和中间体】【维三联(枸橼酸铋钾片/替硝唑片/克拉霉素片)】【美伐他汀】【肺炎支原体IGM抗体检测试剂(胶体金法)】【艾普拉唑肠溶片】【艾普拉唑肠溶片及注射用艾普拉唑钠(壹丽安)】【苯丙氨酸】【诊断试剂】【贝依(注射用醋酸亮丙瑞林微球)】【达托霉素】【阿卡波糖】【马来酸氟伏沙明片(瑞必乐)】,丽珠集团,33.85,300.56亿,14.86,5,273.46,20.23亿|2025年报,65.90|2025年报,24.11亿|2025年报,医药生物-化学制药-化学制剂,0.280,33.90,33.45,0.79,0.81,448.73万,1.51亿,192.32亿
3,002393,力生制药,SZ,23.32,0.60,A股,56.58,25.22,2.47亿|2025年报,8826.34万|2024年报,2.00亿|2023年报,2,1,1,1,1,4.15,44.90,0.00,46.77|2025年报,16.54|2025年报,4.37|2025年报,3.61,1.3199,医药生物-化学制药-化学制剂,流感、科创板概念、维生素、肝素概念,专精特新、合成生物、融资融券、深股通、特色药、短剧互动游戏、核污染防治、养老概念、肝炎概念、肝素概念、创投、电商概念、仿制药一致性评价、流感、京津冀一体化、中药概念、央国企改革、阿兹海默、创新药、维生素,中证全指医药卫生行业指数、中证全指医药指数,【2024H1片剂】【2项原料药产品】【中央药业麻杏甘石软胶囊】【中西药片剂】【缓控释口服固体制剂】【缬沙坦氨氯地平片】【胶囊】【医药产品研发】【原料制剂】【口服液】【软胶囊及中药产品】【寿比山吲达帕胺片】【生化®氢化可的松琥铂酸钠冻干粉针】【生产优质药品服务人类健康】【喷雾】【生物制剂】【碘化钾】【粉针剂】【胶囊产品】【胶囊剂】【无菌制剂】【希福尼®头孢地尼分散】【三鱼®正痛片】【生化®那屈肝素钙注射液】【医药产品研发、生产和销售】【生化®氢化可的松琥珀酸钠冻干粉针】【碳酸氢钠片】【三鱼正痛片】【冻干粉针剂】【制剂】【化药】【原料药】【合剂】【普药】【溶液剂】【滴丸】【滴丸剂】【疫苗】【盖胃平片】【维生素片剂系列】【虎力散片等】【麻仁润肠丸】【三鱼®氨酚咖匹林片】【主要产品寿比山®吲达帕胺片】【友好®麻仁软胶囊】【寿比山®吲达帕胺片】【希福尼®头孢地尼分散片】【生化®氢化可的松琥铂酸钠冻干粉针和碳酸氢钠片】【虎力散片】【丸剂】【片剂】【针剂】【颗粒剂】,力生制药,23.32,60.07亿,14.43,6,229.08,4.16亿|2025年报,55.26|2025年报,4.23亿|2025年报,医药生物-化学制药-化学制剂,0.140,23.33,22.82,1.76,0.83,441.68万,1.02亿,58.37亿
