entity_name,indicator_name,indicator_code,frequency,数据来源,2026-04-30,2026-04-29,2026-04-28,2026-04-27,2026-04-24
利率（日）,利率债收益率曲线(国债):10年(%),E1715322,daily,Choice数据,1.746,1.738,1.756,1.759,1.78
利率（日）,国债到期收益率:10年(%),E1002649,daily,中国外汇交易中心,1.746,1.746,1.765,1.77,1.76
