entity_name,indicator_name,indicator_code,frequency,数据来源,2026-04-14,2026-04-13,2026-04-10,2026-04-09,2026-04-08
利率（日）,利率债收益率曲线(国债):10年(%),E1715322,daily,Choice数据,1.795,1.788,1.808,1.814,1.809
利率（日）,国债到期收益率:10年(%),E1002649,daily,中国外汇交易中心,1.782,1.795,1.813,1.82,1.813
