entity_name,indicator_name,indicator_code,frequency,数据来源,2026-05-20,2026-05-19,2026-05-18,2026-05-15,2026-05-14,2026-05-13,2026-05-12,2026-05-11,2026-05-09,2026-05-08,2026-05-07,2026-05-06,2026-04-30,2026-04-29,2026-04-28,2026-04-27,2026-04-24,2026-04-23,2026-04-22,2026-04-21
利率（日）,利率债收益率曲线(国债):10年(%),E1715322,daily,Choice数据,1.739,1.739,1.747,1.753,1.76,1.741,1.76,1.76,1.758,1.77,1.755,1.758,1.746,1.738,1.756,1.759,1.78,1.766,1.75,1.743
利率（日）,国债到期收益率:10年(%),E1002649,daily,中国外汇交易中心,1.738,1.731,1.758,1.765,1.757,1.75,1.759,1.762,1.767,1.765,1.763,1.765,1.746,1.746,1.765,1.77,1.76,1.754,1.738,1.752
