entity_name,indicator_name,indicator_code,frequency,数据来源,2026-05-20,2026-05-19,2026-05-18,2026-05-15,2026-05-14
利率（日）,利率债收益率曲线(国债):10年(%),E1715322,daily,Choice数据,1.741,1.735,1.752,1.76,1.747
利率（日）,国债到期收益率:10年(%),E1002649,daily,中国外汇交易中心,1.738,1.731,1.758,1.765,1.757
