entity_name,indicator_name,indicator_code,frequency,数据来源,2026-04-30,2026-04-29,2026-04-28,2026-04-27,2026-04-24,2026-04-23,2026-04-22,2026-04-21,2026-04-20,2026-04-17,2026-04-16,2026-04-15,2026-04-14,2026-04-13,2026-04-10,2026-04-09,2026-04-08,2026-04-07
利率（日）,利率债收益率曲线(国债):10年(%),E1715322,daily,Choice数据,1.746,1.738,1.756,1.759,1.78,1.766,1.75,1.743,1.756,1.76,1.791,1.774,1.78,1.801,1.814,1.818,1.817,1.823
利率（日）,国债到期收益率:10年(%),E1002649,daily,中国外汇交易中心,1.746,1.746,1.765,1.77,1.76,1.754,1.738,1.752,1.762,1.762,1.782,1.78,1.782,1.795,1.813,1.82,1.813,1.816
