entity_name,indicator_name,indicator_code,frequency,数据来源,2026-05-07,2026-05-06
利率（日）,利率债收益率曲线(国债):10年(%),E1715322,daily,Choice数据,1.773,1.781
利率（日）,国债到期收益率:10年(%),E1002649,daily,中国外汇交易中心,1.763,1.765
